,sentinel,landsat
0,2019-04-03 15:51:51.773,2017-04-02 15:32:51.579
1,2019-04-23 15:51:54.256,2017-04-09 15:38:59.009
2,2019-06-22 15:51:55.105,2017-04-18 15:32:42.895
3,2019-06-27 15:51:59.418,2017-05-04 15:32:35.274
4,2019-08-26 15:51:55.456,2017-06-12 15:39:09.786
5,2019-10-05 15:51:51.820,2017-07-30 15:39:25.595
6,2019-10-15 15:51:52.223,2017-09-25 15:33:29.507
7,2019-11-04 15:51:51.199,2017-10-27 15:33:35.826
8,2018-05-03 15:50:33.540,2019-11-02 15:33:40.873
9,2018-07-02 15:45:44.040,2019-07-04 15:39:23.419
10,2017-09-10 15:51:30.450,
11,2017-09-25 15:51:18.450,
